Rank;Sourceid;Title;Issn;Publisher;Open Access;SJR;SJR Best Quartile;H index;Coverage;Categories;Areas;Country
7744;19700201439;Studying Teacher Education;17425972, 17425964;Taylor and Francis Ltd.;No;0,736;Q1;30;2009-2025;Education (Q1);Social Sciences;United Kingdom
7745;23751;Hypertension in Pregnancy;10641955, 15256065;Taylor and Francis Ltd.;Yes;0,736;Q2;57;1982-2026;"Internal Medicine (Q2); Obstetrics and Gynecology (Q2)";Medicine;United Kingdom
7746;19935;International Journal of Urology;14422042, 09198172;Wiley-Blackwell Publishing Ltd;No;0,736;Q2;88;1994-2026;Urology (Q2);Medicine;United Kingdom
7747;21921;Minerva Anestesiologica;18271596, 03759393;Edizioni Minerva Medica S.p.A.;No;0,736;Q2;77;1953-2026;Anesthesiology and Pain Medicine (Q2);Medicine;Italy
7748;19700188345;Small GTPases;21541256, 21541248;Taylor and Francis Ltd.;No;0,736;Q2;54;2010-2024;"Biochemistry (Q2); Cell Biology (Q3)";Biochemistry, Genetics and Molecular Biology;United States
7749;19700166506;Tobacco Induced Diseases;16179625, 20707266;European Publishing;Yes;0,736;Q2;44;2009-2026;"Health (social science) (Q2); Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Social Sciences";United Kingdom
7750;72911;African Archaeological Review;15729842, 02630338;Springer International Publishing AG;No;0,735;Q1;49;1983-1994, 1996-2026;"Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences";Switzerland
7751;23488;Current Medicinal Chemistry;09298673, 1875533X;Bentham Science Publishers;No;0,735;Q1;218;1994-2026;"Organic Chemistry (Q1); Biochemistry (Q2); Drug Discovery (Q2); Pharmacology (Q2); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics";United Arab Emirates
7752;21101272909;Discover Environment;27319431;Springer Nature;Yes;0,735;Q1;14;2023-2026;"Earth and Planetary Sciences (miscellaneous) (Q1); Earth-Surface Processes (Q1); Atmospheric Science (Q2); Waste Management and Disposal (Q2)";"Earth and Planetary Sciences; Environmental Science";United Kingdom
7753;29696;European Journal of Orthopaedic Surgery and Traumatology;14321068, 16338065;;No;0,735;Q1;56;1995-2026;"Surgery (Q1); Orthopedics and Sports Medicine (Q2)";Medicine;France
7754;21100900055;Fermentation;23115637;Multidisciplinary Digital Publishing Institute (MDPI);Yes;0,735;Q1;76;2015-2026;"Plant Science (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology";Switzerland
7755;21101258752;International Journal of Industrial Engineering and Operations Management;26906090, 26906104;Emerald Publishing;Yes;0,735;Q1;12;2022-2026;"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q2); Renewable Energy, Sustainability and the Environment (Q2); Safety, Risk, Reliability and Quality (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Energy; Engineering";United Kingdom
7756;14500154733;Operational Research;11092858, 18661505;Springer Verlag;No;0,735;Q1;41;2009-2026;"Modeling and Simulation (Q1); Numerical Analysis (Q1); Computational Theory and Mathematics (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics";Germany
7757;29120;Physica D: Nonlinear Phenomena;01672789;Elsevier B.V.;No;0,735;Q1;157;1980-2026;"Condensed Matter Physics (Q1); Mathematical Physics (Q1); Applied Mathematics (Q2); Statistical and Nonlinear Physics (Q2)";"Mathematics; Physics and Astronomy";Netherlands
7758;144604;Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences;13645021, 14712946;Royal Society Publishing;Yes;0,735;Q1;173;1976-1977, 1983, 1987-1988, 1990-2026;"Engineering (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Engineering; Mathematics; Physics and Astronomy";United Kingdom
7759;25793;Quaternary Research (United States);10960287, 00335894;Cambridge University Press;No;0,735;Q1;135;1970-2026;"Arts and Humanities (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Earth-Surface Processes (Q1)";"Arts and Humanities; Earth and Planetary Sciences";United States
7760;27938;Review of African Political Economy;03056244, 17401720;Routledge;No;0,735;Q1;65;1974-2025;"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";Social Sciences;United Kingdom
7761;19600166311;Current Fungal Infection Reports;19363761, 1936377X;Springer;No;0,735;Q2;39;2008-2026;Infectious Diseases (Q2);Medicine;United States
7762;21100817528;Energy Science and Engineering;20500505;John Wiley and Sons Ltd;Yes;0,735;Q2;65;2013-2026;"Energy (miscellaneous) (Q2); Safety, Risk, Reliability and Quality (Q2)";"Energy; Engineering";United Kingdom
7763;28062;International Tax and Public Finance;15736970, 09275940;Springer New York;No;0,735;Q2;60;1994-2026;"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance";United States
7764;24756;Match;03406253;University of Kragujevac, Faculty of Science;No;0,735;Q2;77;1990, 1996-2026;"Applied Mathematics (Q2); Chemistry (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2)";"Chemistry; Computer Science; Mathematics";Serbia
7765;20645;Thrombosis Journal;14779560;BioMed Central Ltd;Yes;0,735;Q2;54;2003-2026;Hematology (Q2);Medicine;United Kingdom
7766;21100853510;World Journal of Oncology;19204531, 1920454X;Elmer Press;No;0,735;Q2;17;2014-2016, 2020-2026;"Oncology (Q2); Cancer Research (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine";Canada
7767;21100935201;ACM Transactions on Cyber-Physical Systems;23789638, 2378962X;Association for Computing Machinery;No;0,734;Q1;32;2017-2025;"Control and Optimization (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2)";"Computer Science; Mathematics";United States
7768;19700174607;Journal of Computational Science;18777503;Elsevier B.V.;No;0,734;Q1;78;2010-2026;"Modeling and Simulation (Q1); Computer Science (miscellaneous) (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics";Netherlands
7769;21100242617;Journal of Information, Communication and Ethics in Society;17588871, 1477996X;Emerald Group Publishing Ltd.;No;0,734;Q1;36;2003-2026;"Communication (Q1); Philosophy (Q1); Sociology and Political Science (Q1); Computer Networks and Communications (Q2); E-learning (Q2)";"Arts and Humanities; Computer Science; Social Sciences";United Kingdom
7770;18609;Journal of Wildlife Management;19372817, 0022541X;Wiley-Blackwell;No;0,734;Q1;133;1973-1974, 1976-2026;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)";"Agricultural and Biological Sciences; Environmental Science";United States
7771;12169;Marine Ecology Progress Series;01718630, 16161599;Inter-Research;No;0,734;Q1;232;1984-1988, 1990-2025;"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Ecology (Q2)";"Agricultural and Biological Sciences; Environmental Science";Germany
7772;12100155921;Social Policy and Society;14753073, 14747464;Cambridge University Press;No;0,734;Q1;43;2011, 2013-2026;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";Social Sciences;United Kingdom
7773;12041;Applied Psychophysiology Biofeedback;15733270, 10900586;Springer;No;0,734;Q2;81;1997-2026;"Applied Psychology (Q2); Neuropsychology and Physiological Psychology (Q2)";Psychology;United States
7774;12600154709;Geriatrics and Gerontology International;14441586, 14470594;John Wiley and Sons Inc;No;0,734;Q2;88;2004, 2008-2026;"Geriatrics and Gerontology (Q2); Gerontology (Q2); Health (social science) (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Nursing; Social Sciences";United States
7775;21100217612;Industrial and Organizational Psychology;17549426, 17549434;Cambridge University Press;No;0,734;Q2;57;2008-2026;"Applied Psychology (Q2); Social Psychology (Q2)";Psychology;United Kingdom
7776;13533;Journal of the Royal Statistical Society. Series C: Applied Statistics;00359254, 14679876;Oxford University Press;No;0,734;Q2;85;1981, 1983-1991, 1993, 1996-2026;"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics";United Kingdom
7777;12366;Photogrammetric Engineering and Remote Sensing;00991112;American Society for Photogrammetry and Remote Sensing;No;0,734;Q2;148;1975-2026;Computers in Earth Sciences (Q2);Earth and Planetary Sciences;United States
7778;19700180840;Photonic Sensors;21907439, 16749251;Tsinghua University Press;Yes;0,734;Q2;53;2011-2025;"Atomic and Molecular Physics, and Optics (Q2); Electronic, Optical and Magnetic Materials (Q2)";"Materials Science; Physics and Astronomy";Germany
7779;27993;Plant Foods for Human Nutrition;15739104, 09219668;Springer;No;0,734;Q2;107;1987-2026;"Chemistry (miscellaneous) (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Chemistry";United States
7780;21100851481;Frontiers in Pediatrics;22962360;Frontiers Media SA;Yes;0,733;Q1;95;2013-2026;Pediatrics, Perinatology and Child Health (Q1);Medicine;Switzerland
7781;25794;International Interactions;03050629, 15477444;Taylor and Francis Ltd.;No;0,733;Q1;59;1974-2026;Political Science and International Relations (Q1);Social Sciences;United Kingdom
7782;17800156772;International Journal of Workplace Health Management;17538351, 1753836X;Emerald Publishing;No;0,733;Q1;37;2008-2026;"Business, Management and Accounting (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q2)";"Business, Management and Accounting; Medicine";United Kingdom
7783;145159;Journal of Deaf Studies and Deaf Education;14657325, 10814159;Oxford University Press;No;0,733;Q1;80;1996, 1999, 2002-2026;"Education (Q1); Speech and Hearing (Q1)";"Health Professions; Social Sciences";United Kingdom
7784;18011;Neuropsychological Rehabilitation;14640694, 09602011;Taylor and Francis Ltd.;No;0,733;Q1;92;1991-2026;"Arts and Humanities (miscellaneous) (Q1); Rehabilitation (Q1); Applied Psychology (Q2); Neuropsychology and Physiological Psychology (Q2); Psychology (miscellaneous) (Q2)";"Arts and Humanities; Medicine; Psychology";United Kingdom
7785;28374;Oceanologia;23007370, 00783234;Institute of Oceanology, Polish Academy of Sciences;Yes;0,733;Q1;55;1973, 1978, 1984, 1993-2025;"Aquatic Science (Q1); Ocean Engineering (Q1); Atmospheric Science (Q2); Oceanography (Q2)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Engineering";Poland
7786;21101073717;Pacific Asia Journal of the Association for Information Systems;19437536, 19437544;Association for Information Systems;No;0,733;Q1;19;2018-2025;"Information Systems and Management (Q1); Computer Science Applications (Q2); Human-Computer Interaction (Q2); Information Systems (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences";United States
7787;5600153930;Small Wars and Insurgencies;17439558, 09592318;Routledge;No;0,733;Q1;37;1990-2005, 2007-2026;Political Science and International Relations (Q1);Social Sciences;United Kingdom
7788;19417;Clinical and Experimental Nephrology;14377799, 13421751;Springer;No;0,733;Q2;72;1999-2026;"Nephrology (Q2); Physiology (Q2); Physiology (medical) (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine";Singapore
7789;21100451659;Infectious Diseases;23744235, 23744243;Taylor and Francis Ltd.;No;0,733;Q2;87;2015-2026;"Immunology and Microbiology (miscellaneous)  (Q2); Infectious Diseases (Q2); Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)";"Immunology and Microbiology; Medicine";United Kingdom
7790;13506;International Journal of Biometeorology;14321254, 00207128;Springer Science and Business Media Deutschland GmbH;No;0,733;Q2;124;1961-2026;"Atmospheric Science (Q2); Ecology (Q2); Health, Toxicology and Mutagenesis (Q2)";"Earth and Planetary Sciences; Environmental Science";Germany
7791;14509;Journal of Vision;15347362;Association for Research in Vision and Ophthalmology Inc.;Yes;0,733;Q2;144;2001-2026;"Ophthalmology (Q2); Sensory Systems (Q2)";"Medicine; Neuroscience";United States
7792;5600157619;Obesity Research and Clinical Practice;1871403X, 18780318;Elsevier Ltd;No;0,733;Q2;57;2007-2026;"Nutrition and Dietetics (Q2); Endocrinology, Diabetes and Metabolism (Q3)";"Medicine; Nursing";United Kingdom
7793;29343;Perspectives in Psychiatric Care;17446163, 00315990;John Wiley and Sons Inc;No;0,733;Q2;58;1963-1985, 1987, 1989-2026;"Medicine (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)";Medicine;United States
7794;21100899564;Current Opinion in Endocrine and Metabolic Research;24519650;Elsevier Ltd;No;0,733;Q3;28;2018-2026;Endocrinology, Diabetes and Metabolism (Q3);Medicine;United Kingdom
7795;14521;BMC Pediatrics;14712431;BioMed Central Ltd;Yes;0,732;Q1;112;2001-2026;Pediatrics, Perinatology and Child Health (Q1);Medicine;United Kingdom
7796;13759;International Journal of Heat and Fluid Flow;0142727X;Elsevier B.V.;No;0,732;Q1;137;1979-1980, 1982-2026;"Condensed Matter Physics (Q1); Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1)";"Chemical Engineering; Engineering; Physics and Astronomy";Netherlands
7797;29570;Limnologica;18735851, 00759511;Elsevier GmbH;No;0,732;Q1;63;1974, 1980, 1994-2026;Aquatic Science (Q1);Agricultural and Biological Sciences;Germany
7798;26471;ASAIO Journal;10582916, 1538943X;Lippincott Williams and Wilkins;No;0,732;Q2;85;1978-1985, 1992-2026;"Bioengineering (Q2); Biomaterials (Q2); Biomedical Engineering (Q2); Biophysics (Q2); Medicine (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine";United States
7799;21101141803;Dili Yanjiu;10000585;Science China Press;No;0,731;Q1;22;2019-2025;Geography, Planning and Development (Q1);Social Sciences;China
7800;21101072515;Frontiers in Sustainable Cities;26249634;Frontiers Media SA;Yes;0,731;Q1;34;2019-2026;"Public Administration (Q1); Urban Studies (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Social Sciences";Switzerland
7801;15688;Journal of Information Systems;08887985, 15587959;American Accounting Association;No;0,731;Q1;52;2006, 2009-2025;"Information Systems and Management (Q1); Accounting (Q2); Human-Computer Interaction (Q2); Information Systems (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Software (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences";United States
7802;22612;Journal of Special Education;15384764, 00224669;SAGE Publications Inc.;No;0,731;Q1;85;1966-2026;"Education (Q1); Rehabilitation (Q1)";"Medicine; Social Sciences";United States
7803;19900191721;Review of Accounting and Finance;14757702, 17587700;Emerald Publishing;No;0,731;Q1;39;2002-2026;"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance";United Kingdom
7804;21101068029;RIED-Revista Iberoamericana de Educacion a Distancia;13903306, 11382783;Ibero-American Association for Distance Higher Education (AIESAD);Yes;0,731;Q1;27;2019-2026;"Education (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences";Spain
7805;145157;American Journal of Medical Genetics, Part A;15524833, 15524825;John Wiley and Sons Inc;No;0,731;Q2;141;1996-1999, 2001-2026;"Genetics (Q2); Genetics (clinical) (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine";United States
7806;21101038561;Discover Oncology;27306011;Springer Science and Business Media B.V.;Yes;0,731;Q2;50;2021-2026;"Oncology (Q2); Cancer Research (Q3); Endocrine and Autonomic Systems (Q3); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience";Netherlands
7807;15609;Enzyme and Microbial Technology;18790909, 01410229;Elsevier Inc.;No;0,731;Q2;171;1979-2026;"Applied Microbiology and Biotechnology (Q2); Biochemistry (Q2); Bioengineering (Q2); Biotechnology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology";United States
7808;21101169080;Food Bioengineering;27702081;John Wiley and Sons Inc;Yes;0,731;Q2;15;2022-2026;"Applied Microbiology and Biotechnology (Q2); Bioengineering (Q2); Biotechnology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology";United States
7809;20237;Journal of Microbiology;19763794, 12258873;;No;0,731;Q2;88;1996-2025;"Applied Microbiology and Biotechnology (Q2); Medicine (miscellaneous) (Q2); Microbiology (Q2)";"Immunology and Microbiology; Medicine";South Korea
7810;16104;Molecular Biotechnology;15590305, 10736085;Springer;Yes;0,731;Q2;98;1994-2026;"Applied Microbiology and Biotechnology (Q2); Biochemistry (Q2); Bioengineering (Q2); Biotechnology (Q2); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology";United States
7811;20041;Neurourology and Urodynamics;07332467, 15206777;John Wiley and Sons Inc;No;0,731;Q2;116;1982-2026;"Neurology (clinical) (Q2); Urology (Q2)";Medicine;United States
7812;10100153329;Proteomics - Clinical Applications;18628354, 18628346;Wiley-VCH Verlag;No;0,731;Q2;70;2007-2026;Clinical Biochemistry (Q2);Biochemistry, Genetics and Molecular Biology;Germany
7813;21100931312;BMJ Paediatrics Open;23999772;BMJ Publishing Group;Yes;0,730;Q1;39;2017-2026;Pediatrics, Perinatology and Child Health (Q1);Medicine;United Kingdom
7814;13845;Bulletin of Mathematical Biology;00928240, 15229602;Springer;No;0,730;Q1;106;1973-2026;"Agricultural and Biological Sciences (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Environmental Science (miscellaneous) (Q2); Pharmacology (Q2); Immunology (Q3); Neuroscience (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Environmental Science; Immunology and Microbiology; Mathematics; Neuroscience; Pharmacology, Toxicology and Pharmaceutics";United States
7815;5600157640;Communications in Mathematical Sciences;15396746, 19450796;International Press, Inc.;No;0,730;Q1;68;2003-2026;"Mathematics (miscellaneous) (Q1); Applied Mathematics (Q2)";Mathematics;United States
7816;29615;Health Education Research;14653648, 02681153;Oxford University Press;No;0,730;Q1;124;1986-2026;"Education (Q1); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Social Sciences";United Kingdom
7817;11700154303;International Emergency Nursing;1878013X, 1755599X;Elsevier Ltd;No;0,730;Q1;59;2008-2026;Emergency Nursing (Q1);Nursing;United Kingdom
7818;5700177956;Journal of Family Communication;15327698, 15267431;Routledge;No;0,730;Q1;38;2009-2026;"Communication (Q1); Social Psychology (Q2)";"Psychology; Social Sciences";United States
7819;21100275426;Journal of Industrial and Business Economics;03912078, 19724977;Springer Nature;No;0,730;Q1;29;2013-2026;"Economics, Econometrics and Finance (miscellaneous) (Q1); Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance";Switzerland
7820;21162;Journal of Materials Science;15734803, 00222461;Springer;No;0,730;Q1;238;1966-2026;"Mechanical Engineering (Q1); Mechanics of Materials (Q1); Ceramics and Composites (Q2); Materials Science (miscellaneous) (Q2); Polymers and Plastics (Q2)";"Engineering; Materials Science";United States
7821;14422;Journal of Non-Newtonian Fluid Mechanics;03770257;Elsevier B.V.;No;0,730;Q1;126;1976-2026;"Chemical Engineering (miscellaneous) (Q1); Condensed Matter Physics (Q1); Mechanical Engineering (Q1); Applied Mathematics (Q2); Materials Science (miscellaneous) (Q2)";"Chemical Engineering; Engineering; Materials Science; Mathematics; Physics and Astronomy";Netherlands
7822;4700152233;Therapeutics and Clinical Risk Management;11766336, 1178203X;Dove Medical Press Ltd;Yes;0,730;Q1;79;2006-2026;"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Safety Research (Q1); Chemical Health and Safety (Q2); Medicine (miscellaneous) (Q2); Pharmacology (medical) (Q2)";"Chemical Engineering; Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences";New Zealand
7823;24879;Journal of Tissue Viability;0965206X, 18764746;Tissue Viability Society;No;0,730;Q2;50;1998-2006, 2008-2026;"Dermatology (Q2); Pathology and Forensic Medicine (Q2)";Medicine;United Kingdom
7824;19700175029;Pharmacogenomics and Personalized Medicine;11787066;Dove Medical Press Ltd;Yes;0,730;Q2;44;2009-2026;"Pharmacology (Q2); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics";New Zealand
7825;26709;Seminars in Reproductive Medicine;15268004, 15264564;Thieme Medical Publishers, Inc.;No;0,730;Q2;103;1999-2025;"Obstetrics and Gynecology (Q2); Physiology (medical) (Q2); Reproductive Medicine (Q2); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine";United States
7826;23763;Advances in Dental Research;08959374, 15440737;SAGE Publications Inc.;No;0,729;Q1;77;1987-2003, 2005-2006, 2008-2016, 2018-2019, 2023-2024, 2026;"Dental Hygiene (Q1); Dentistry (miscellaneous) (Q1)";Dentistry;United States
7827;18156;Computer Applications in Engineering Education;10990542, 10613773;"John Wiley &amp; Sons Inc.";No;0,729;Q1;55;1992-2026;"Education (Q1); Engineering (miscellaneous) (Q1); Computer Science (miscellaneous) (Q2)";"Computer Science; Engineering; Social Sciences";United States
7828;21100776051;Conservation Physiology;20511434;Oxford University Press;Yes;0,729;Q1;64;2013-2026;"Nature and Landscape Conservation (Q1); Ecological Modeling (Q2); Management, Monitoring, Policy and Law (Q2); Physiology (Q2)";"Biochemistry, Genetics and Molecular Biology; Environmental Science";United States
7829;100147319;International Journal of Mathematical Education in Science and Technology;14645211, 0020739X;Taylor and Francis Ltd.;No;0,729;Q1;48;1970-2026;"Education (Q1); Mathematics (miscellaneous) (Q1); Applied Mathematics (Q2)";"Mathematics; Social Sciences";United Kingdom
7830;19713;Journal of High Technology Management Research;10478310;Elsevier Ltd;No;0,729;Q1;59;1990-2024;"Information Systems and Management (Q1); Computer Science Applications (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences";United Kingdom
7831;25169;Journal of the Electrochemical Society;00134651, 19457111;Institute of Physics;No;0,729;Q1;336;1948-1960, 1963-2025;"Condensed Matter Physics (Q1); Electrochemistry (Q2); Electronic, Optical and Magnetic Materials (Q2); Materials Chemistry (Q2); Renewable Energy, Sustainability and the Environment (Q2); Surfaces, Coatings and Films (Q2)";"Chemistry; Energy; Materials Science; Physics and Astronomy";United States
7832;22889;Political Science Quarterly;00323195, 1538165X;Oxford University Press;No;0,729;Q1;61;1935, 1955, 1964-1965, 1968, 1972-1974, 1976, 1978, 1980-1994, 1996-2025;Sociology and Political Science (Q1);Social Sciences;United States
7833;4700152858;ACM Transactions on Storage;15533093, 15533077;Association for Computing Machinery;No;0,729;Q2;56;2005-2026;Hardware and Architecture (Q2);Computer Science;United States
7834;144962;Corporate Communications;13563289;Emerald Group Publishing Ltd.;No;0,729;Q2;76;1996-2026;"Industrial Relations (Q2); Organizational Behavior and Human Resource Management (Q2)";Business, Management and Accounting;United Kingdom
7835;21100931380;Environmental Health Insights;11786302;SAGE Publications Inc.;Yes;0,729;Q2;38;2008-2026;"Health, Toxicology and Mutagenesis (Q2); Management, Monitoring, Policy and Law (Q2); Pollution (Q2); Public Health, Environmental and Occupational Health (Q2)";"Environmental Science; Medicine";United States
7836;21101251283;Frontiers in Nephrology;28130626;Frontiers Media SA;Yes;0,729;Q2;12;2021-2026;Nephrology (Q2);Medicine;Switzerland
7837;27466;Gynecologic and Obstetric Investigation;1423002X, 03787346;S. Karger AG;No;0,729;Q2;76;1895-2026;"Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2)";Medicine;Switzerland
7838;21100980647;Health Services Insights;11786329;SAGE Publications Ltd;Yes;0,729;Q2;29;2008-2026;"Health Policy (Q2); Public Health, Environmental and Occupational Health (Q2)";Medicine;United Kingdom
7839;14000155911;International Gambling Studies;14794276, 14459795;Routledge;No;0,729;Q2;47;2010-2026;Applied Psychology (Q2);Psychology;United Kingdom
7840;20617;Journal of Food Science and Technology;00221155, 09758402;Springer;No;0,729;Q2;135;1974-1975, 1977-1978, 1980, 1982-1988, 1994-2026;Food Science (Q2);Agricultural and Biological Sciences;India
7841;21100812570;Journal of Ocean Engineering and Marine Energy;21986452, 21986444;Springer International Publishing AG;No;0,729;Q2;38;2015-2026;"Energy Engineering and Power Technology (Q2); Ocean Engineering (Q2); Renewable Energy, Sustainability and the Environment (Q2); Water Science and Technology (Q2)";"Energy; Engineering; Environmental Science";Switzerland
7842;25623;Journal of Supercomputing;15730484, 09208542;Springer Netherlands;No;0,729;Q2;99;1987-2026;"Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics";Netherlands
7843;21100831009;Molecular Catalysis;24688231;Elsevier B.V.;No;0,729;Q2;186;2017-2026;"Catalysis (Q2); Physical and Theoretical Chemistry (Q2); Process Chemistry and Technology (Q2)";"Chemical Engineering; Chemistry";Netherlands
7844;9700153237;Mutation Research Letters;1873135X;Elsevier B.V.;No;0,729;Q2;1;1973-1995;"Health, Toxicology and Mutagenesis (Q2); Medicine (miscellaneous) (Q2); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Environmental Science; Medicine";Netherlands
7845;19900193855;Revista de Psicologia del Trabajo y de las Organizaciones;15765962, 21740534;Colegio Oficial de Psicologos de Madrid;Yes;0,729;Q2;36;2011-2025;"Organizational Behavior and Human Resource Management (Q2); Social Psychology (Q2)";"Business, Management and Accounting; Psychology";Spain
7846;40554;American Antiquity;00027316, 23255064;Cambridge University Press;No;0,728;Q1;97;1935-2026;"Archeology (Q1); Arts and Humanities (miscellaneous) (Q1); History (Q1); Museology (Q1)";"Arts and Humanities; Social Sciences";United States
7847;12055;Asian Journal of Social Psychology;1467839X, 13672223;Wiley-Blackwell Publishing Ltd;No;0,728;Q1;66;1998-2026;"Social Sciences (miscellaneous) (Q1); Social Psychology (Q2)";"Psychology; Social Sciences";United Kingdom
7848;144960;Education and Training;00400912;Emerald Publishing;No;0,728;Q1;95;1959-2026;"Education (Q1); Business, Management and Accounting (miscellaneous) (Q2); Life-span and Life-course Studies (Q2)";"Business, Management and Accounting; Social Sciences";United Kingdom
7849;21100427853;Politics and Governance;21832463;Cogitatio Press;Yes;0,728;Q1;45;2013-2026;"Sociology and Political Science (Q1); Public Administration (Q2)";Social Sciences;Portugal
7850;27474;Annals of Biomedical Engineering;00906964, 15739686;Springer;No;0,728;Q2;170;1972-2026;Biomedical Engineering (Q2);Engineering;United States
7851;21101132912;Artificial Intelligence in the Life Sciences;26673185;Elsevier B.V.;Yes;0,728;Q2;18;2021-2026;Artificial Intelligence (Q2);Computer Science;Netherlands
7852;10900153302;Biomarker Insights;11772719;SAGE Publications Ltd;Yes;0,728;Q2;45;2006-2026;"Biochemistry (medical) (Q2); Pharmacology (Q2); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics";United Kingdom
7853;13242;Evaluation and the Health Professions;15523918, 01632787;SAGE Publications Inc.;No;0,728;Q2;66;1978-2026;Health Policy (Q2);Medicine;United States
7854;21101240289;Food Safety and Health;28351096;John Wiley and Sons Inc;No;0,728;Q2;12;2023-2026;Food Science (Q2);Agricultural and Biological Sciences;China
7855;4700152855;Journal of Inorganic and Organometallic Polymers and Materials;15741443, 15741451;Springer New York;No;0,728;Q2;77;1996, 2000-2001, 2003-2026;"Materials Chemistry (Q2); Polymers and Plastics (Q2)";Materials Science;United States
